-,# name,ra,dec,mass,radius,orbital_period,semi_major_axis,eccentricity,inclination,star_distance,discovered
planet,LHS 1140 b,11.24583335,-15.2713889,0.02196,0.15407,24.736,0.0936,0.06,89.912,12.47,2017
planet,LHS 1140 c,11.24583335,-15.2713889,0.00569,0.11437,3.777931,0.02675,0.31,89.92,12.47,2018
planet,LHS 1478 b,44.32500001,76.55361113,0.00733,0.1106,1.9495378,0.01848,-,87.45,18.21,2021
planet,LHS 1678 b,68.17898663,-39.79087441,0.00019,0.06209,0.8602322,0.01251,0.041,87.55,19.89,2021
planet,LHS 1678 c,68.17898663,-39.79087441,0.00123,0.08761,3.694237,0.0331,0.034,89.09,19.89,2021
planet,LHS 1815 b,91.08333334,-55.31305557,0.0132,0.09707,3.81433,0.0404,0,88.125,29.87,2020
planet,LHS 2397a B,170.4548837,-13.21909133,64,-,5194,3.09,0.35,41.9,14.3905,2009
planet,LHS 3844 b,340.4958334,-69.17222223,-,0.1178,0.46292792,0.00623,-,88.22,14.9,2018
planet,LHS 6176 B,147.7066328,1.303785191,45,-,-,970,-,-,19.6846,2013
planet,LKCA 15 b,69.825,22.3508333,6,-,40000,15.7,-,-,145,2011
planet,LP 261-75 b,147.7690653,35.96929604,21,-,-,450,-,-,33.96,2006
planet,LP 358-499 e,70.148567,25.010006,-,0.154,26.5841,0.1346,-,89.164,75.2,2019
planet,LP 714-47 b,64.19166668,-12.085,0.0969,0.419,4.052037,0.0417,0.04,87.3,52.7,2020
planet,LP 791-18 b,165.6916667,-16.40611112,-,0.0999,0.948005,0.00969,-,87.3,26.493,2019
planet,LP 791-18 c,165.6916667,-16.40611112,-,0.2061,4.989963,0.029392,-,89.55,26.493,2019
planet,LSPM J2116+0234 b,319.1125,2.580833356,-,-,14.446,0.0876,-,-,17.64,2019
planet,LSR J1835,278.75,32.98333335,55,-,-,-,-,-,-,2017
planet,LTT 1445A b,45.46250002,-16.59333335,0.00903,0.11643,5.3587657,0.03813,0.11,89.68,6.9,2019
